date,industry,lprod,gva,labour
2004,M: 69 to 75,110.2967,76.6446,69.4895
2005,M: 69 to 75,106.5652,78.265,73.4433
2006,M: 69 to 75,110.7447,83.8704,75.7331
2007,M: 69 to 75,109.0222,85.6724,78.5825
2008,M: 69 to 75,108.8972,84.6312,77.7166
2009,M: 69 to 75,109.829,80.6338,73.4176
2010,M: 69 to 75,111.5516,83.1123,74.5057
2011,M: 69 to 75,109.6762,82.425,75.153
2012,M: 69 to 75,106.2231,83.8819,78.9677
2013,M: 69 to 75,106.2492,88.2352,83.0455
2014,M: 69 to 75,103.4876,91.7161,88.6252
2015,M: 69 to 75,104.6827,96.6661,92.342
2016,M: 69 to 75,103.1519,98.4042,95.3973
2017,M: 69 to 75,107.782,100.3545,93.1089
2018,M: 69 to 75,105.014,100.8649,96.049
2019,M: 69 to 75,100.0,100.0,100.0
2020,M: 69 to 75,98.7192,92.5204,93.7208
2021,M: 69 to 75,102.5778,101.6455,99.0911
1997,N: 77 to 82,97.1235,55.001,56.6299
1998,N: 77 to 82,93.586,55.1877,58.97
1999,N: 77 to 82,89.5584,55.2772,61.722
2000,N: 77 to 82,86.7798,56.3741,64.9622
2001,N: 77 to 82,87.401,59.0446,67.556
2002,N: 77 to 82,86.9144,58.334,67.1166
2003,N: 77 to 82,87.3693,58.965,67.4894
2004,N: 77 to 82,85.9153,60.7273,70.6828
2005,N: 77 to 82,85.0964,62.641,73.6119
2006,N: 77 to 82,85.8581,64.7847,75.4556
2007,N: 77 to 82,86.6607,68.2966,78.8093
2008,N: 77 to 82,85.5603,70.1248,81.9595
2009,N: 77 to 82,86.5121,66.3043,76.6417
2010,N: 77 to 82,87.1768,68.2701,78.3122
2011,N: 77 to 82,87.8384,71.4282,81.3177
2012,N: 77 to 82,86.9042,75.0413,86.3495
2013,N: 77 to 82,95.4525,82.6902,86.6297
2014,N: 77 to 82,98.7814,88.6348,89.7281
2015,N: 77 to 82,97.7638,93.3399,95.4749
2016,N: 77 to 82,96.898,95.1307,98.1761
